Datum;Kurs
2016-04-11;38,67
2016-04-12;39,00
2016-04-13;39,938
2016-04-14;40,163
2016-04-15;39,935
2016-04-19;40,313
2016-04-20;40,593
2016-04-21;40,543
2016-04-22;40,515
2016-04-25;40,278
2016-04-26;40,288
2016-04-27;40,278
2016-04-28;40,34
2016-04-29;39,14
2016-05-02;39,303
2016-05-03;38,833
2016-05-04;38,635
2016-05-05;39,023
2016-05-06;38,795
2016-05-09;39,008
2016-05-10;39,483
2016-05-11;39,315
2016-05-12;39,135
2016-05-13;39,493
2016-05-17;39,42
2016-05-18;39,56
2016-05-19;39,203
2016-05-20;39,79
2016-05-23;39,64
2016-05-24;40,303
2016-05-25;40,648
2016-05-26;40,618
2016-05-27;40,868
2016-05-30;40,943
2016-05-31;40,813
2016-06-01;40,553
2016-06-02;40,608
2016-06-06;40,315
2016-06-07;40,62
2016-06-08;40,468
2016-06-09;40,39
2016-06-10;40,105
2016-06-13;39,715
2016-06-15;39,575
2016-06-16;39,205
2016-06-17;39,405
2016-06-20;40,15
2016-06-21;40,253
2016-06-22;40,31
2016-06-23;40,495
2016-06-24;39,715
2016-06-27;38,77
2016-06-28;39,203
2016-06-29;39,988
2016-06-30;40,325
2016-07-01;40,568
2016-07-04;40,573
2016-07-05;40,30
2016-07-06;40,158
2016-07-07;40,465
2016-07-08;40,978
2016-07-11;41,46
2016-07-12;41,72
2016-07-13;41,478
2016-07-14;41,83
2016-07-15;41,863
2016-07-18;41,88
2016-07-19;41,985
2016-07-20;42,29
2016-07-21;42,218
2016-07-22;42,263
2016-07-25;42,193
2016-07-26;42,215
2016-07-27;42,24
2016-07-28;41,79
2016-07-29;41,915
2016-08-01;41,878
2016-08-02;41,265
2016-08-03;41,438
2016-08-04;41,793
2016-08-05;42,27
2016-08-08;42,325
2016-08-09;42,405
2016-08-10;42,088
2016-08-11;42,403
2016-08-12;42,32
2016-08-15;42,37
2016-08-16;41,90
2016-08-17;41,668
2016-08-18;41,778
2016-08-19;41,65
2016-08-22;41,635
2016-08-23;41,91
2016-08-24;42,048
2016-08-25;41,823
2016-08-26;42,013
2016-08-29;42,14
2016-08-30;42,168
2016-08-31;41,993
2016-09-01;41,89
2016-09-02;42,443
2016-09-05;42,498
2016-09-06;42,275
2016-09-07;42,34
2016-09-08;42,238
2016-09-09;41,853
2016-09-12;41,48
2016-09-13;41,065
2016-09-14;41,075
2016-09-15;41,403
2016-09-16;41,455
2016-09-19;41,755
2016-09-20;41,708
2016-09-21;41,925
2016-09-22;42,315
2016-09-23;42,188
2016-09-26;41,565
2016-09-27;41,87
2016-09-28;41,933
2016-09-29;42,013
2016-09-30;42,065
2016-10-04;42,26
2016-10-05;42,045
2016-10-06;41,963
2016-10-07;41,868
2016-10-10;42,23
2016-10-11;42,038
2016-10-12;42,143
2016-10-13;41,758
2016-10-14;42,22
2016-10-19;42,568
2016-10-20;42,588
2016-10-21;42,76
2016-10-24;42,898
2016-10-25;42,803
2016-10-26;42,66
2016-10-27;42,543
2016-10-28;42,465
2016-10-31;42,263
2016-11-01;41,658
2016-11-02;41,20
2016-11-03;41,123
2016-11-04;40,955
2016-11-07;41,735
2016-11-08;41,915
2016-11-09;42,585
2016-11-10;42,733
2016-11-11;42,76
2016-11-14;43,198
2016-11-15;43,338
2016-11-16;43,568
2016-11-17;43,84
2016-11-18;43,90
2016-11-21;44,088
2016-11-22;44,095
2016-11-23;44,333
2016-11-25;44,428
2016-11-28;44,368
2016-11-29;44,34
2016-11-30;44,525
2016-12-01;44,143
2016-12-02;43,948
2016-12-05;43,995
2016-12-06;44,025
2016-12-07;44,27
2016-12-08;45,23
2016-12-09;45,705
2016-12-12;45,558
2016-12-13;45,663
2016-12-14;45,505
2016-12-15;46,385
2016-12-16;46,16
2016-12-19;46,165
2016-12-20;46,49
2016-12-21;46,315
2016-12-22;46,085
2016-12-23;46,115
2016-12-27;46,205
2016-12-28;46,34
2016-12-29;45,813
2016-12-30;45,77
2017-01-02;46,00
2017-01-03;46,25
2017-01-04;46,39
2017-01-05;46,033
2017-01-06;46,30
2017-01-09;46,195
2017-01-10;46,225
2017-01-11;46,50
2017-01-12;45,725
2017-01-13;46,245
2017-01-16;46,10
2017-01-17;45,70
2017-01-18;45,793
2017-01-19;45,923
2017-01-20;45,875
2017-01-23;45,45
2017-01-24;45,615
2017-01-25;46,08
2017-01-26;46,46
2017-01-27;46,238
2017-01-30;45,82
2017-01-31;45,333
2017-02-01;45,718
2017-02-02;45,613
2017-02-03;45,938
2017-02-06;45,96
2017-02-07;46,168
2017-02-08;46,14
2017-02-09;46,565
2017-02-10;46,765
2017-02-13;47,203
2017-02-14;47,26
2017-02-15;47,455
2017-02-16;47,175
2017-02-17;47,325
2017-02-20;47,55
2017-02-21;47,94
2017-02-22;48,005
2017-02-23;47,855
2017-02-24;47,68
2017-02-27;47,605
2017-02-28;47,63
2017-03-01;48,335
2017-03-02;48,32
2017-03-03;48,09
2017-03-06;47,84
2017-03-07;47,855
2017-03-08;47,933
2017-03-09;47,785
2017-03-10;47,568
2017-03-13;47,675
2017-03-14;47,565
2017-03-15;47,85
2017-03-16;47,758
2017-03-17;47,743
2017-03-20;47,645
2017-03-21;47,055
2017-03-22;46,91
2017-03-23;47,253
2017-03-27;46,638
2017-03-28;47,008
2017-03-29;47,51
2017-03-30;47,79
2017-03-31;47,855
2017-04-03;47,705
2017-04-04;47,80
2017-04-05;47,975
2017-04-06;47,87
2017-04-07;47,955
2017-04-10;48,00
2017-04-11;47,803
2017-04-12;47,825
2017-04-13;47,80
2017-04-18;47,275
2017-04-19;47,40
2017-04-20;47,243
2017-04-21;47,543
2017-04-24;47,52
2017-04-25;47,49
2017-04-26;47,905
2017-04-27;47,725
2017-04-28;47,57
2017-05-02;47,72
2017-05-03;47,57
2017-05-04;47,625
2017-05-05;47,605
2017-05-08;47,898
2017-05-09;48,095
2017-05-10;48,168
2017-05-11;48,005
2017-05-12;47,885
2017-05-15;47,908
2017-05-16;47,58
2017-05-17;46,815
2017-05-18;46,77
2017-05-19;46,875
2017-05-22;46,855
2017-05-23;46,973
2017-05-25;47,218
2017-05-26;47,325
2017-05-29;47,355
2017-05-30;47,275
2017-05-31;46,998
2017-06-01;47,34
2017-06-02;47,448
2017-06-06;47,36
2017-06-07;47,375
2017-06-08;47,525
2017-06-09;47,788
2017-06-12;47,40
2017-06-13;47,605
2017-06-14;47,41
2017-06-15;47,56
2017-06-16;47,518
2017-06-19;48,013
2017-06-20;47,948
2017-06-21;47,753
2017-06-22;47,808
2017-06-23;47,608
2017-06-26;47,65
2017-06-27;47,26
2017-06-28;47,095
2017-06-29;46,55
2017-06-30;46,545
2017-07-03;47,025
2017-07-04;46,825
2017-07-05;46,90
2017-07-06;46,49
2017-07-07;46,56
2017-07-10;46,67
2017-07-11;46,395
2017-07-12;46,935
2017-07-13;47,12
2017-07-14;47,035
2017-07-17;47,115
2017-07-18;46,625
2017-07-19;47,07
2017-07-20;46,685
2017-07-21;46,55
2017-07-24;46,525
2017-07-25;46,715
